"Text-raw","IsAVerse","Verse-temp","Chapter 1","AnyChapter","IsABook","Type","Chapter","Text"
"2 That the things which this prophet Zenos spake concerning the house of Israel, in the which he likened them unto a tame olive tree, must surely come to pass.",1,2,0,0,0,"verse",4,"That the things which this prophet Zenos spake concerning the house of Israel, in the which he likened them unto a tame olive tree, must surely come to pass."
"3 And in the day that he shall set his hand again the second time to recover his people, is the day, yea, even the last time, that the servants of the Lord shall go forth in his power to nourish and prune his vineyard; and after that, the end soon cometh.",1,3,0,0,0,"verse",4,"And in the day that he shall set his hand again the second time to recover his people, is the day, yea, even the last time, that the servants of the Lord shall go forth in his power to nourish and prune his vineyard; and after that, the end soon cometh."
"4 And how blessed are they who have labored diligently in his vineyard; and how cursed are they who shall be cast out into their own place!",1,4,0,0,0,"verse",4,"And how blessed are they who have labored diligently in his vineyard; and how cursed are they who shall be cast out into their own place!"
"5 And the world shall be burned with fire.",1,5,0,0,0,"verse",4,"And the world shall be burned with fire."
"6 And how merciful is our God unto us; for he remembereth the house of Israel, both roots and branches; and he stretches forth his hands unto them all the day long;",1,6,0,0,0,"verse",4,"And how merciful is our God unto us; for he remembereth the house of Israel, both roots and branches; and he stretches forth his hands unto them all the day long;"
"7 And they are a stiff-necked and a gainsaying people; but as many as will not harden their hearts shall be saved in the kingdom of God.",1,7,0,0,0,"verse",4,"And they are a stiff-necked and a gainsaying people; but as many as will not harden their hearts shall be saved in the kingdom of God."
"8 Wherefore, my beloved brethren, I beseech of you in words of soberness that ye would repent, and come with full purpose of heart, and cleave unto God as he cleaveth unto you.",1,8,0,0,0,"verse",4,"Wherefore, my beloved brethren, I beseech of you in words of soberness that ye would repent, and come with full purpose of heart, and cleave unto God as he cleaveth unto you."
"9 And while his arm of mercy is extended towards you in the light of the day, harden not your hearts.",1,9,0,0,0,"verse",4,"And while his arm of mercy is extended towards you in the light of the day, harden not your hearts."
"10 Yea, today if ye will hear his voice, harden not your hearts. For why will ye die?",1,10,0,0,0,"verse",4,"Yea, today if ye will hear his voice, harden not your hearts. For why will ye die?"
"11 For behold, after ye have been nourished by the good word of God all the day long, will ye bring forth evil fruit, that ye must be hewn down and cast into the fire?",1,11,0,0,0,"verse",4,"For behold, after ye have been nourished by the good word of God all the day long, will ye bring forth evil fruit, that ye must be hewn down and cast into the fire?"
"12 Behold, will ye reject these words?",1,12,0,0,0,"verse",4,"Behold, will ye reject these words?"
"13 Will ye reject the words of the prophets and will ye reject all the words which have been spoken concerning Christ, after so many have spoken concerning him? and deny the good word of Christ, and the power of God, and the gift of the Holy Ghost, and quench the Holy Spirit? and make a mock of the great plan of redemption which hath been laid for you?",1,13,0,0,0,"verse",4,"Will ye reject the words of the prophets and will ye reject all the words which have been spoken concerning Christ, after so many have spoken concerning him? and deny the good word of Christ, and the power of God, and the gift of the Holy Ghost, and quench the Holy Spirit? and make a mock of the great plan of redemption which hath been laid for you?"
"14 Know ye not that if ye will do these things, that the power of the redemption and the resurrection which is in Christ will bring you to stand with shame and awful guilt before the bar of God?",1,14,0,0,0,"verse",4,"Know ye not that if ye will do these things, that the power of the redemption and the resurrection which is in Christ will bring you to stand with shame and awful guilt before the bar of God?"
"15 And according to the power of justice, for justice cannot be denied, ye must go away into that lake of fire and brimstone, whose flames are unquenchable, and whose smoke ascendeth up forever and ever, which lake of fire and brimstone is endless torment.",1,15,0,0,0,"verse",4,"And according to the power of justice, for justice cannot be denied, ye must go away into that lake of fire and brimstone, whose flames are unquenchable, and whose smoke ascendeth up forever and ever, which lake of fire and brimstone is endless torment."
"16 Oh, then, my beloved brethren, repent ye, and enter in at the strait gate; and continue in the way which is narrow until ye shall obtain eternal life.",1,16,0,0,0,"verse",4,"Oh, then, my beloved brethren, repent ye, and enter in at the strait gate; and continue in the way which is narrow until ye shall obtain eternal life."
"17 Oh, be wise. What can I say more?",1,17,0,0,0,"verse",4,"Oh, be wise. What can I say more?"
"18 Finally, I bid you farewell until I shall meet you before the pleasing bar of God, which bar striketh the wicked with awful dread and fear. Amen.",1,18,0,0,0,"verse",4,"Finally, I bid you farewell until I shall meet you before the pleasing bar of God, which bar striketh the wicked with awful dread and fear. Amen."
"CHAPTER 5",0,1,0,1,0,"pericope",5,"CHAPTER 5"
"Jacob confounds Sherem, who preaches against Christ. Jacob entrusts the plates to Enos.",0,1,0,0,0,"pericope",5,"Jacob confounds Sherem, who preaches against Christ. Jacob entrusts the plates to Enos."
"1 And now, it came to pass after some years had passed away, there came a man among the people of Nephi whose name was Sherem.",1,1,0,0,0,"verse",5,"And now, it came to pass after some years had passed away, there came a man among the people of Nephi whose name was Sherem."
"2 And it came to pass that he began to preach among the people and to declare unto them that there should be no Christ.",1,2,0,0,0,"verse",5,"And it came to pass that he began to preach among the people and to declare unto them that there should be no Christ."
"3 And he preached many things which were flattering unto the people; and this he did that he might overthrow the doctrine of Christ.",1,3,0,0,0,"verse",5,"And he preached many things which were flattering unto the people; and this he did that he might overthrow the doctrine of Christ."
"4 And he labored diligently that he might lead away the hearts of the people, insomuch that he did lead away many hearts;",1,4,0,0,0,"verse",5,"And he labored diligently that he might lead away the hearts of the people, insomuch that he did lead away many hearts;"
"5 And he, knowing that I, Jacob, had faith in Christ who should come, he sought much opportunity that he might come unto me.",1,5,0,0,0,"verse",5,"And he, knowing that I, Jacob, had faith in Christ who should come, he sought much opportunity that he might come unto me."
"6 And he was learned, that he had a perfect knowledge of the language of the people; wherefore, he could use much flattery and much power of speech, according to the power of the devil.",1,6,0,0,0,"verse",5,"And he was learned, that he had a perfect knowledge of the language of the people; wherefore, he could use much flattery and much power of speech, according to the power of the devil."
"7 And he had hope to shake me from the faith, notwithstanding the many revelations and the many things which I had seen concerning these things; for I truly had seen angels, and they had ministered unto me.",1,7,0,0,0,"verse",5,"And he had hope to shake me from the faith, notwithstanding the many revelations and the many things which I had seen concerning these things; for I truly had seen angels, and they had ministered unto me."
"8 And also, I had heard the voice of the Lord speaking unto me in very word from time to time; wherefore, I could not be shaken.",1,8,0,0,0,"verse",5,"And also, I had heard the voice of the Lord speaking unto me in very word from time to time; wherefore, I could not be shaken."
"9 And it came to pass that he came unto me; and on this wise did he speak unto me, saying, Brother Jacob, I have sought much opportunity that I might speak unto you; for I have heard and also know that thou goest about much, preaching that which ye call the gospel, or the doctrine of Christ;",1,9,0,0,0,"verse",5,"And it came to pass that he came unto me; and on this wise did he speak unto me, saying, Brother Jacob, I have sought much opportunity that I might speak unto you; for I have heard and also know that thou goest about much, preaching that which ye call the gospel, or the doctrine of Christ;"
"10 And ye have led away much of this people, that they pervert the right way of God and keep not the law of Moses, which is the right way, and convert the law of Moses into the worship of a being which ye say shall come many hundred years hence.",1,10,0,0,0,"verse",5,"And ye have led away much of this people, that they pervert the right way of God and keep not the law of Moses, which is the right way, and convert the law of Moses into the worship of a being which ye say shall come many hundred years hence."
"11 And now, behold, I, Sherem, declare unto you that this is blasphemy; for no man knoweth of such things; for he cannot tell of things to come.",1,11,0,0,0,"verse",5,"And now, behold, I, Sherem, declare unto you that this is blasphemy; for no man knoweth of such things; for he cannot tell of things to come."
"12 And after this manner did Sherem contend against me.",1,12,0,0,0,"verse",5,"And after this manner did Sherem contend against me."
"13 But behold, the Lord God poured in his Spirit into my soul, insomuch that I did confound him in all his words.",1,13,0,0,0,"verse",5,"But behold, the Lord God poured in his Spirit into my soul, insomuch that I did confound him in all his words."
"14 And I said unto him, Deniest thou the Christ which shall come?",1,14,0,0,0,"verse",5,"And I said unto him, Deniest thou the Christ which shall come?"
"15 And he said, If there should be a Christ, I would not deny him; but I know that there is no Christ, neither has been, nor ever will be.",1,15,0,0,0,"verse",5,"And he said, If there should be a Christ, I would not deny him; but I know that there is no Christ, neither has been, nor ever will be."
"16 And I said unto him, Believest thou the scriptures?",1,16,0,0,0,"verse",5,"And I said unto him, Believest thou the scriptures?"
"17 And he said, Yea.",1,17,0,0,0,"verse",5,"And he said, Yea."
"18 And I said unto him, Then ye do not understand them; for they truly testify of Christ.",1,18,0,0,0,"verse",5,"And I said unto him, Then ye do not understand them; for they truly testify of Christ."
"19 Behold, I say unto you that none of the prophets have written, nor prophesied, save they have spoken concerning this Christ.",1,19,0,0,0,"verse",5,"Behold, I say unto you that none of the prophets have written, nor prophesied, save they have spoken concerning this Christ."
"20 And this is not all; it has been made manifest unto me, for I have heard and seen; and it also has been made manifest unto me by the power of the Holy Ghost;",1,20,0,0,0,"verse",5,"And this is not all; it has been made manifest unto me, for I have heard and seen; and it also has been made manifest unto me by the power of the Holy Ghost;"
"21 Wherefore, I know if there should be no atonement made, all mankind must be lost.",1,21,0,0,0,"verse",5,"Wherefore, I know if there should be no atonement made, all mankind must be lost."
"22 And it came to pass that he said unto me, Show me a sign by this power of the Holy Ghost, in the which ye know so much.",1,22,0,0,0,"verse",5,"And it came to pass that he said unto me, Show me a sign by this power of the Holy Ghost, in the which ye know so much."
"23 And I said unto him, What am I, that I should tempt God to show unto thee a sign in the thing which thou knowest to be true?",1,23,0,0,0,"verse",5,"And I said unto him, What am I, that I should tempt God to show unto thee a sign in the thing which thou knowest to be true?"
"24 Yet thou wilt deny it because thou art of the devil.",1,24,0,0,0,"verse",5,"Yet thou wilt deny it because thou art of the devil."
"25 Nevertheless, not my will be done; but if God shall smite thee, let that be a sign unto thee that he has power, both in heaven and in earth, and also that Christ shall come.",1,25,0,0,0,"verse",5,"Nevertheless, not my will be done; but if God shall smite thee, let that be a sign unto thee that he has power, both in heaven and in earth, and also that Christ shall come."
"26 And thy will, O Lord, be done, and not mine.",1,26,0,0,0,"verse",5,"And thy will, O Lord, be done, and not mine."
"27 And it came to pass that when I, Jacob, had spoken these words, the power of the Lord came upon him, insomuch that he fell to the earth.",1,27,0,0,0,"verse",5,"And it came to pass that when I, Jacob, had spoken these words, the power of the Lord came upon him, insomuch that he fell to the earth."
"28 And it came to pass that he was nourished for the space of many days.",1,28,0,0,0,"verse",5,"And it came to pass that he was nourished for the space of many days."
"29 And it came to pass that he said unto the people, Gather together on the morrow, for I shall die; wherefore, I desire to speak unto the people before I shall die.",1,29,0,0,0,"verse",5,"And it came to pass that he said unto the people, Gather together on the morrow, for I shall die; wherefore, I desire to speak unto the people before I shall die."
"30 And it came to pass that on the morrow, the multitude were gathered together; and he spake plainly unto them, and denied the things which he had taught them, and confessed the Christ, and the power of the Holy Ghost, and the ministering of angels.",1,30,0,0,0,"verse",5,"And it came to pass that on the morrow, the multitude were gathered together; and he spake plainly unto them, and denied the things which he had taught them, and confessed the Christ, and the power of the Holy Ghost, and the ministering of angels."
"31 And he spake plainly unto them that he had been deceived by the power of the devil.",1,31,0,0,0,"verse",5,"And he spake plainly unto them that he had been deceived by the power of the devil."
"32 And he spake of hell, and of eternity, and of eternal punishment.",1,32,0,0,0,"verse",5,"And he spake of hell, and of eternity, and of eternal punishment."
"33 And he said, I fear lest I have committed the unpardonable sin, for I have lied unto God; for I denied the Christ and said that I believed the scriptures; and they truly testify of him.",1,33,0,0,0,"verse",5,"And he said, I fear lest I have committed the unpardonable sin, for I have lied unto God; for I denied the Christ and said that I believed the scriptures; and they truly testify of him."
"34 And because I have thus lied unto God, I greatly fear lest my case shall be awful; but I confess unto God.",1,34,0,0,0,"verse",5,"And because I have thus lied unto God, I greatly fear lest my case shall be awful; but I confess unto God."
"35 And it came to pass that when he had said these words, he could say no more; and he gave up the ghost.",1,35,0,0,0,"verse",5,"And it came to pass that when he had said these words, he could say no more; and he gave up the ghost."
"36 And when the multitude had witnessed that he spake these things as he was about to give up the ghost, they were astonished exceedingly, insomuch that the power of God came down upon them; and they were overcome, that they fell to the earth.",1,36,0,0,0,"verse",5,"And when the multitude had witnessed that he spake these things as he was about to give up the ghost, they were astonished exceedingly, insomuch that the power of God came down upon them; and they were overcome, that they fell to the earth."
"37 Now this thing was pleasing unto me, Jacob; for I had requested it of my Father who was in heaven; for he had heard my cry and answered my prayer.",1,37,0,0,0,"verse",5,"Now this thing was pleasing unto me, Jacob; for I had requested it of my Father who was in heaven; for he had heard my cry and answered my prayer."
"38 And it came to pass that peace and the love of God were restored again among the people; and they searched the scriptures and hearkened no more to the words of this wicked man.",1,38,0,0,0,"verse",5,"And it came to pass that peace and the love of God were restored again among the people; and they searched the scriptures and hearkened no more to the words of this wicked man."
"39 And it came to pass that many means were devised to reclaim and restore the Lamanites to the knowledge of the truth; but it was all in vain; for they delighted in wars and bloodshed; and they had an eternal hatred against us, their brethren.",1,39,0,0,0,"verse",5,"And it came to pass that many means were devised to reclaim and restore the Lamanites to the knowledge of the truth; but it was all in vain; for they delighted in wars and bloodshed; and they had an eternal hatred against us, their brethren."
"40 And they sought by the power of their arms to destroy us continually;",1,40,0,0,0,"verse",5,"And they sought by the power of their arms to destroy us continually;"
"41 Wherefore, the people of Nephi did fortify against them with their armies and with all their might, trusting in the God and rock of their salvation; wherefore, they became as yet conquerors of their enemies.",1,41,0,0,0,"verse",5,"Wherefore, the people of Nephi did fortify against them with their armies and with all their might, trusting in the God and rock of their salvation; wherefore, they became as yet conquerors of their enemies."
"42 And it came to pass that I, Jacob, began to be old; and the record of this people being kept on the other plates of Nephi, wherefore, I conclude this record, declaring that I have written according to the best of my knowledge by saying,",1,42,0,0,0,"verse",5,"And it came to pass that I, Jacob, began to be old; and the record of this people being kept on the other plates of Nephi, wherefore, I conclude this record, declaring that I have written according to the best of my knowledge by saying,"
"43 That the time passed away with us, and also our lives passed away, like as it were unto us a dream--we being a lonesome and a solemn people, wanderers, cast out from Jerusalem,",1,43,0,0,0,"verse",5,"That the time passed away with us, and also our lives passed away, like as it were unto us a dream--we being a lonesome and a solemn people, wanderers, cast out from Jerusalem,"
"44 Born in tribulation, in a wilderness, and hated of our brethren, which caused wars and contentions; wherefore, we did mourn out our days.",1,44,0,0,0,"verse",5,"Born in tribulation, in a wilderness, and hated of our brethren, which caused wars and contentions; wherefore, we did mourn out our days."
"45 And I, Jacob, saw that I must soon go down to my grave; wherefore, I said unto my son Enos, Take these plates.",1,45,0,0,0,"verse",5,"And I, Jacob, saw that I must soon go down to my grave; wherefore, I said unto my son Enos, Take these plates."
"46 And I told him the things which my brother Nephi had commanded me; and he promised obedience unto the commands.",1,46,0,0,0,"verse",5,"And I told him the things which my brother Nephi had commanded me; and he promised obedience unto the commands."
"47 And I make an end of my writing upon these plates, which writing has been small.",1,47,0,0,0,"verse",5,"And I make an end of my writing upon these plates, which writing has been small."
"48 And to the reader I bid farewell, hoping that many of my brethren may read my words. Brethren, adieu.",1,48,0,0,0,"verse",5,"And to the reader I bid farewell, hoping that many of my brethren may read my words. Brethren, adieu."
"BOOK: THE BOOK OF ENOS",0,1,0,0,1,"pericope",1,"THE BOOK OF ENOS"
"Enos is converted to the Lord and prays that God will preserve the records.",0,1,0,0,0,"pericope",1,"Enos is converted to the Lord and prays that God will preserve the records."
"CHAPTER 1",0,1,1,1,0,"pericope",1,"CHAPTER 1"
"1 Behold, it came to pass that I, Enos, knowing my father, that he was a just man, for he taught me in his language and also in the nurture and admonition of the Lord.",1,1,0,0,0,"verse",1,"Behold, it came to pass that I, Enos, knowing my father, that he was a just man, for he taught me in his language and also in the nurture and admonition of the Lord."
"2 And blessed be the name of my God for it.",1,2,0,0,0,"verse",1,"And blessed be the name of my God for it."
"3 And I will tell you of the wrestle which I had before God before I received a remission of my sins;",1,3,0,0,0,"verse",1,"And I will tell you of the wrestle which I had before God before I received a remission of my sins;"
"4 Behold, I went to hunt beasts in the forest; and the words which I had often heard my father speak concerning eternal life and the joy of the saints sank deep into my heart.",1,4,0,0,0,"verse",1,"Behold, I went to hunt beasts in the forest; and the words which I had often heard my father speak concerning eternal life and the joy of the saints sank deep into my heart."
"5 And my soul hungered; and I kneeled down before my Maker, and I cried unto him in mighty prayer and supplication for mine own soul;",1,5,0,0,0,"verse",1,"And my soul hungered; and I kneeled down before my Maker, and I cried unto him in mighty prayer and supplication for mine own soul;"
"6 And all the day long did I cry unto him; yea, and when the night came, I did still raise my voice high, that it reached the heavens.",1,6,0,0,0,"verse",1,"And all the day long did I cry unto him; yea, and when the night came, I did still raise my voice high, that it reached the heavens."
"7 And there came a voice unto me saying, Enos, thy sins are forgiven thee, and thou shalt be blessed.",1,7,0,0,0,"verse",1,"And there came a voice unto me saying, Enos, thy sins are forgiven thee, and thou shalt be blessed."
"8 And I, Enos, knew that God could not lie; wherefore, my guilt was swept away.",1,8,0,0,0,"verse",1,"And I, Enos, knew that God could not lie; wherefore, my guilt was swept away."
"9 And I said, Lord, how is it done?",1,9,0,0,0,"verse",1,"And I said, Lord, how is it done?"
"10 And he said unto me, Because of thy faith in Christ, whom thou hast never before heard nor seen.",1,10,0,0,0,"verse",1,"And he said unto me, Because of thy faith in Christ, whom thou hast never before heard nor seen."
"11 And many years pass away before he shall manifest himself in the flesh; wherefore, go to; thy faith hath made thee whole.",1,11,0,0,0,"verse",1,"And many years pass away before he shall manifest himself in the flesh; wherefore, go to; thy faith hath made thee whole."
"12 Now it came to pass that when I had heard these words, I began to feel a desire for the welfare of my brethren, the Nephites; wherefore, I did pour out my whole soul unto God for them.",1,12,0,0,0,"verse",1,"Now it came to pass that when I had heard these words, I began to feel a desire for the welfare of my brethren, the Nephites; wherefore, I did pour out my whole soul unto God for them."
"13 And while I was thus struggling in the spirit, behold, the voice of the Lord came into my mind again, saying,",1,13,0,0,0,"verse",1,"And while I was thus struggling in the spirit, behold, the voice of the Lord came into my mind again, saying,"
"14 I will visit thy brethren according to their diligence in keeping my commandments.",1,14,0,0,0,"verse",1,"I will visit thy brethren according to their diligence in keeping my commandments."
"15 I have given unto them this land; and it is a holy land; and I curse it not, save it be for the cause of iniquity;",1,15,0,0,0,"verse",1,"I have given unto them this land; and it is a holy land; and I curse it not, save it be for the cause of iniquity;"
"16 Wherefore, I will visit thy brethren, according as I have said; and their transgressions will I bring down with sorrow upon their own heads.",1,16,0,0,0,"verse",1,"Wherefore, I will visit thy brethren, according as I have said; and their transgressions will I bring down with sorrow upon their own heads."
"17 And after I, Enos, had heard these words, my faith began to be unshaken in the Lord; and I prayed unto him with many long strugglings for my brethren, the Lamanites.",1,17,0,0,0,"verse",1,"And after I, Enos, had heard these words, my faith began to be unshaken in the Lord; and I prayed unto him with many long strugglings for my brethren, the Lamanites."
"18 And it came to pass that after I had prayed and labored with all diligence, the Lord said unto me, I will grant unto thee according to thy desires, because of thy faith.",1,18,0,0,0,"verse",1,"And it came to pass that after I had prayed and labored with all diligence, the Lord said unto me, I will grant unto thee according to thy desires, because of thy faith."
"19 And now, behold, this was the desire which I desired of him: that if it should so be that my people, the Nephites, should fall into transgression and by any means be destroyed, and the Lamanites should not be destroyed, that the Lord God would preserve a record of my people, the Nephites,",1,19,0,0,0,"verse",1,"And now, behold, this was the desire which I desired of him: that if it should so be that my people, the Nephites, should fall into transgression and by any means be destroyed, and the Lamanites should not be destroyed, that the Lord God would preserve a record of my people, the Nephites,"
"20 Even if it so be by the power of his holy arm, that it might be brought forth at some future day unto the Lamanites, that perhaps they might be brought unto salvation;",1,20,0,0,0,"verse",1,"Even if it so be by the power of his holy arm, that it might be brought forth at some future day unto the Lamanites, that perhaps they might be brought unto salvation;"
"21 For at the present, our strugglings were vain in restoring them to the true faith.",1,21,0,0,0,"verse",1,"For at the present, our strugglings were vain in restoring them to the true faith."
"22 And they swore in their wrath that, if it were possible, they would destroy our records, and us, and also all the traditions of our fathers.",1,22,0,0,0,"verse",1,"And they swore in their wrath that, if it were possible, they would destroy our records, and us, and also all the traditions of our fathers."
"23 Wherefore, I, knowing that the Lord God was able to preserve our records, I cried unto him continually;",1,23,0,0,0,"verse",1,"Wherefore, I, knowing that the Lord God was able to preserve our records, I cried unto him continually;"
"24 For he had said unto me, Whatsoever thing ye shall ask in faith, believing that ye shall receive in the name of Christ, ye shall receive it.",1,24,0,0,0,"verse",1,"For he had said unto me, Whatsoever thing ye shall ask in faith, believing that ye shall receive in the name of Christ, ye shall receive it."
"25 And I had faith, and I did cry unto God that he would preserve the records;",1,25,0,0,0,"verse",1,"And I had faith, and I did cry unto God that he would preserve the records;"
"26 And he covenanted with me that he would bring them forth unto the Lamanites in his own due time.",1,26,0,0,0,"verse",1,"And he covenanted with me that he would bring them forth unto the Lamanites in his own due time."
"27 And I, Enos, knew it would be according to the covenant which he had made; wherefore, my soul did rest.",1,27,0,0,0,"verse",1,"And I, Enos, knew it would be according to the covenant which he had made; wherefore, my soul did rest."
"28 And the Lord said unto me, Thy fathers have also required of me this thing; and it shall be done unto them according to their faith, for their faith was like unto thine.",1,28,0,0,0,"verse",1,"And the Lord said unto me, Thy fathers have also required of me this thing; and it shall be done unto them according to their faith, for their faith was like unto thine."
"29 And now, it came to pass that I, Enos, went about among the people of Nephi, prophesying of things to come and testifying of the things which I had heard and seen.",1,29,0,0,0,"verse",1,"And now, it came to pass that I, Enos, went about among the people of Nephi, prophesying of things to come and testifying of the things which I had heard and seen."
"30 And I bear record that the people of Nephi did seek diligently to restore the Lamanites unto the true faith in God.",1,30,0,0,0,"verse",1,"And I bear record that the people of Nephi did seek diligently to restore the Lamanites unto the true faith in God."
"31 But our labors were vain; their hatred was fixed, and they were led by their evil nature, that they became wild, and ferocious, and a bloodthirsty people, full of idolatry and filthiness,",1,31,0,0,0,"verse",1,"But our labors were vain; their hatred was fixed, and they were led by their evil nature, that they became wild, and ferocious, and a bloodthirsty people, full of idolatry and filthiness,"
"32 Feeding upon beasts of prey, dwelling in tents, and wandering about in the wilderness, with a short skin girt about their loins, and their heads shaven; and their skill was in the bow, and the cimeter, and the ax.",1,32,0,0,0,"verse",1,"Feeding upon beasts of prey, dwelling in tents, and wandering about in the wilderness, with a short skin girt about their loins, and their heads shaven; and their skill was in the bow, and the cimeter, and the ax."
"33 And many of them did eat nothing save it was raw meat; and they were continually seeking to destroy us.",1,33,0,0,0,"verse",1,"And many of them did eat nothing save it was raw meat; and they were continually seeking to destroy us."
"34 And it came to pass that the people of Nephi did till the land and raise all manner of grain, and of fruit, and flocks of herds, and flocks of all manner of cattle of every kind, and goats, and wild goats, and also many horses.",1,34,0,0,0,"verse",1,"And it came to pass that the people of Nephi did till the land and raise all manner of grain, and of fruit, and flocks of herds, and flocks of all manner of cattle of every kind, and goats, and wild goats, and also many horses."
"35 And there were exceeding many prophets among us.",1,35,0,0,0,"verse",1,"And there were exceeding many prophets among us."
"36 And the people were a stiff-necked people, hard to understand.",1,36,0,0,0,"verse",1,"And the people were a stiff-necked people, hard to understand."
"37 And there was nothing, save it was exceeding harshness, preaching, and prophesying of wars, and contentions, and destructions, and continually reminding them of death, and the duration of eternity, and the judgments, and the power of God--",1,37,0,0,0,"verse",1,"And there was nothing, save it was exceeding harshness, preaching, and prophesying of wars, and contentions, and destructions, and continually reminding them of death, and the duration of eternity, and the judgments, and the power of God--"
"38 And all these things stirring them up continually to keep them in the fear of the Lord.",1,38,0,0,0,"verse",1,"And all these things stirring them up continually to keep them in the fear of the Lord."
"39 I say there was nothing, short of these things and exceeding great plainness of speech, would keep them from going down speedily to destruction.",1,39,0,0,0,"verse",1,"I say there was nothing, short of these things and exceeding great plainness of speech, would keep them from going down speedily to destruction."
"40 And after this manner do I write concerning them.",1,40,0,0,0,"verse",1,"And after this manner do I write concerning them."
"41 And I saw wars between the Nephites and the Lamanites in the course of my days.",1,41,0,0,0,"verse",1,"And I saw wars between the Nephites and the Lamanites in the course of my days."
"42 And it came to pass that I began to be old; and a hundred and seventy and nine years had passed away from the time that our father Lehi left Jerusalem.",1,42,0,0,0,"verse",1,"And it came to pass that I began to be old; and a hundred and seventy and nine years had passed away from the time that our father Lehi left Jerusalem."
"43 And as I saw that I must soon go down to my grave, having been wrought upon by the power of God that I must preach and prophesy unto this people and declare the word according to the truth which is in Christ.",1,43,0,0,0,"verse",1,"And as I saw that I must soon go down to my grave, having been wrought upon by the power of God that I must preach and prophesy unto this people and declare the word according to the truth which is in Christ."
"44 And I have declared it in all my days and have rejoiced in it, above that of the world.",1,44,0,0,0,"verse",1,"And I have declared it in all my days and have rejoiced in it, above that of the world."
"45 And I soon go to the place of my rest, which is with my Redeemer; for I know that in him I shall rest;",1,45,0,0,0,"verse",1,"And I soon go to the place of my rest, which is with my Redeemer; for I know that in him I shall rest;"
"46 And I rejoice in the day when my mortal shall put on immortality and shall stand before him; then shall I see his face with pleasure. And he will say unto me, Come unto me, ye blessed. There is a place prepared for you in the mansions of my Father. Amen.",1,46,0,0,0,"verse",1,"And I rejoice in the day when my mortal shall put on immortality and shall stand before him; then shall I see his face with pleasure. And he will say unto me, Come unto me, ye blessed. There is a place prepared for you in the mansions of my Father. Amen."
"BOOK: THE BOOK OF JAROM",0,1,0,0,1,"pericope",1,"THE BOOK OF JAROM"
"The Nephites keep the law of Moses but look forward to the Messiah. The people prosper but are stiff-necked. The prophets continually call the people to repentance. There are many Nephite-Lamanite battles.",0,1,0,0,0,"pericope",1,"The Nephites keep the law of Moses but look forward to the Messiah. The people prosper but are stiff-necked. The prophets continually call the people to repentance. There are many Nephite-Lamanite battles."
"CHAPTER 1",0,1,1,1,0,"pericope",1,"CHAPTER 1"
"1 Now behold, I, Jarom, write a few words according to the commandment of my father Enos, that our genealogy may be kept.",1,1,0,0,0,"verse",1,"Now behold, I, Jarom, write a few words according to the commandment of my father Enos, that our genealogy may be kept."
"2 And as these plates are small, and as these things are written for the intent of the benefit of our brethren, the Lamanites, wherefore, it must needs be that I write a little; but I shall not write the things of my prophesying nor of my revelations.",1,2,0,0,0,"verse",1,"And as these plates are small, and as these things are written for the intent of the benefit of our brethren, the Lamanites, wherefore, it must needs be that I write a little; but I shall not write the things of my prophesying nor of my revelations."
"3 For what could I write more than my fathers have written?",1,3,0,0,0,"verse",1,"For what could I write more than my fathers have written?"
"4 For have not they revealed the plan of salvation?",1,4,0,0,0,"verse",1,"For have not they revealed the plan of salvation?"
"5 I say unto you, Yea; and this sufficeth me.",1,5,0,0,0,"verse",1,"I say unto you, Yea; and this sufficeth me."
"6 Behold, it is expedient that much should be done among this people because of the hardness of their hearts, and the deafness of their ears, and the blindness of their minds, and the stiffness of their necks;",1,6,0,0,0,"verse",1,"Behold, it is expedient that much should be done among this people because of the hardness of their hearts, and the deafness of their ears, and the blindness of their minds, and the stiffness of their necks;"
"7 Nevertheless, God is exceeding merciful unto them and has not as yet swept them off from the face of the land.",1,7,0,0,0,"verse",1,"Nevertheless, God is exceeding merciful unto them and has not as yet swept them off from the face of the land."
"8 And there are many among us who have many revelations; for they are not all stiff-necked.",1,8,0,0,0,"verse",1,"And there are many among us who have many revelations; for they are not all stiff-necked."
"9 And as many as are not stiff-necked, and have faith, have communion with the Holy Spirit, which maketh manifest unto the children of men according to their faith.",1,9,0,0,0,"verse",1,"And as many as are not stiff-necked, and have faith, have communion with the Holy Spirit, which maketh manifest unto the children of men according to their faith."
"10 And now, behold, two hundred years had passed away, and the people of Nephi had waxed strong in the land.",1,10,0,0,0,"verse",1,"And now, behold, two hundred years had passed away, and the people of Nephi had waxed strong in the land."
"11 They observed to keep the law of Moses and the Sabbath day holy unto the Lord.",1,11,0,0,0,"verse",1,"They observed to keep the law of Moses and the Sabbath day holy unto the Lord."
"12 And they profaned not; neither did they blaspheme.",1,12,0,0,0,"verse",1,"And they profaned not; neither did they blaspheme."
"13 And the laws of the land were exceeding strict.",1,13,0,0,0,"verse",1,"And the laws of the land were exceeding strict."
"14 And they were scattered upon much of the face of the land, and the Lamanites also.",1,14,0,0,0,"verse",1,"And they were scattered upon much of the face of the land, and the Lamanites also."
"15 And they were exceeding more numerous than were they of the Nephites; and they loved murder and would drink the blood of beasts.",1,15,0,0,0,"verse",1,"And they were exceeding more numerous than were they of the Nephites; and they loved murder and would drink the blood of beasts."
